x:Key,CN,EN,JP
DialogMessageWindow_Title,訊息,Message,メッセージ
DialogYesNoWindow_Button_No,否,No,いいえ
DialogYesNoWindow_Button_Yes,是,Yes,はい
DialogYesNoWindow_Message_Default,你確定要執行此操作嗎？,Are you sure you want to proceed?,この操作を実行してもよろしいですか？
DialogYesNoWindow_Title,確認,Confirm,確認
EditGridViewModel_Title_Default,編輯,Edit,編集
EditGridWindow_Button_Edit,編輯,Edit,編集
EditGridWindow_Title,編輯,Edit,編集
ElectrodeDetailView_Button_ClearReservation,電極解除預約,Electrode cancel booked,電極予約解除
ElectrodeDetailView_Label_Compensation,電極補償值,Electrode compensation,電極補正値
ElectrodeDetailView_Label_MaxDischarge,放電上限次數,Max discharge count,最大放電回数
ElectrodeDetailView_Label_Name,電極名稱,Electrode name,電極名
ElectrodeDetailView_Label_Number,電極編號,Electrode number,電極番号
ElectrodeDetailView_Label_ProcessedCount,被加工次數,Processed count,加工回数
ElectrodeDetailView_Label_Status,狀態,Status,状態
ElectrodeDetailView_Label_TagSerial,標籤序號,Tag serial,タグシリアル番号
ElectrodeDetailView_Label_Type,電極類型,Electrode type,電極タイプ
ElectrodeDetailView_Label_UsageRate,電極使用率,Electrode usage rate,電極使用率
ElectrodeDetailView_Title,電極資訊,Electrode information,電極情報
ElectrodeDetailView_Tooltip_Lock,鎖定/解除鎖定,Lock/Unlock,ロック／ロック解除
EmptyMaterialView_Message_Empty,此倉位目前沒有電極或工件資料。,No electrode or workpiece data in this slot.,このスロットには現在、電極またはワークのデータがありません
EmptyMaterialView_Title,物料,Material,材料
FactoryLayout_Title,產線配置,Factory layout,ラインレイアウト
FactoryOverview_Title,整場總覽,Factory Overview,工場全体概要
Inventory_Button_Refresh,重新整理,Refresh,更新
Inventory_Column_Location,目前位置,Location,現在位置
Inventory_Column_Name,名稱,Name,名称
Inventory_Column_Program,加工程式,Program,加工プログラム
Inventory_Column_SlotCode,倉位編號,Slot code,スロット番号
Inventory_Column_Status,狀態,Status,状態
Inventory_Column_TagSerial,標籤序號,Tag serial,タグシリアル番号
Inventory_Column_Worksheet,工單編號,Work order,作業指示番号
Inventory_Search_Placeholder,搜尋,Search,検索
Inventory_Tab_Electrode,架上電極,Stored electrodes,保管中の電極
Inventory_Tab_Workpiece,架上工件,Stored workpieces,保管中のワーク
Inventory_Title,倉儲庫存,Storage,在庫管理
LockPillButton_Text_Lock,鎖定,Lock,ロック
LockPillButton_Text_Unlock,解鎖,Unlock,ロック解除
LoginViewModel_Message_EmptyPassword,請輸入密碼,Please enter the password.,パスワードを入力してください
LoginViewModel_Message_EmptyUserName,請輸入使用者名稱,Please enter the user name.,ユーザー名を入力してください
LoginViewModel_Message_InvalidPassword,密碼錯誤,Incorrect password.,パスワードが正しくありません
LoginViewModel_Message_UserNotFound,使用者名稱不存在,User name does not exist.,ユーザー名が存在しません
LoginWindow_Button_Login,登入,Login,ログイン
LoginWindow_Header_Title,系統登入,System login,システムログイン
LoginWindow_Label_Password,密碼：,Password:,パスワード：
LoginWindow_Label_UserName,使用者：,User:,ユーザー：
LoginWindow_Title,登入,Login,ログイン
MachineCard_Label_Disabled,禁用中,Disabled,無効
MachineCard_Tooltip_OpenMachine,查看機器資訊,View machine info,機械情報を表示
MachineCnc_Message_ApiReturnFailed,API回傳失敗,API response failed.,API応答に失敗しました
MachineCnc_Message_ApiSendFailed,API發送失敗,API request failed.,API送信に失敗しました
MachineDetailCard_Label_Disabled,禁用,Disabled,無効
MachineDetailCard_Tooltip_OpenMachine,查看機器資訊,View machine info,機械情報を表示
MachineDetailControl_Title,Working Zone Overview,Working Zone Overview,加工エリア概要
MachineDetailControl_Title,機台總覽,Machine Overview,機械概要
MachineDetailControl_Tooltip_Back,返回總覽,Back to overview,概要へ戻る
MachineDetailControl_Tooltip_Back,返回總覽,Back to overview,概要へ戻る
MachineMainDetail_Button_Reset,重置,Reset,リセット
MachineMainDetail_CNC_Info1,機台型號：,Name:,機械型式：
MachineMainDetail_CNC_Info10, , , 
MachineMainDetail_CNC_Info11, , , 
MachineMainDetail_CNC_Info12, , , 
MachineMainDetail_CNC_Info13, , , 
MachineMainDetail_CNC_Info14, , , 
MachineMainDetail_CNC_Info15, , , 
MachineMainDetail_CNC_Info16, , , 
MachineMainDetail_CNC_Info2,機台狀態：,Status:,機械状態：
MachineMainDetail_CNC_Info3,使用刀具：,Tool:,使用工具：
MachineMainDetail_CNC_Info4,加工程式：,Program:,加工プログラム：
MachineMainDetail_CNC_Info5,加工時間：,Cycle time:,加工時間：
MachineMainDetail_CNC_Info6,加工進度：,Progress:,加工進捗：
MachineMainDetail_CNC_Info7,目前工單：,Work order:,現在の作業指示：
MachineMainDetail_CNC_Info8,刀具號碼：,Tool No.:,工具番号：
MachineMainDetail_CNC_Info9, , , 
MachineMainDetail_CNC_Param1,進給速度:,Feed rate: ,送り速度：
MachineMainDetail_CNC_Param10,,,
MachineMainDetail_CNC_Param11,,,
MachineMainDetail_CNC_Param12,,,
MachineMainDetail_CNC_Param13,,,
MachineMainDetail_CNC_Param14,,,
MachineMainDetail_CNC_Param15,,,
MachineMainDetail_CNC_Param16,,,
MachineMainDetail_CNC_Param2,主軸轉速:,Spindle speed: ,主軸回転数：
MachineMainDetail_CNC_Param3,,,
MachineMainDetail_CNC_Param4,,,
MachineMainDetail_CNC_Param5,,,
MachineMainDetail_CNC_Param6,,,
MachineMainDetail_CNC_Param7,,,
MachineMainDetail_CNC_Param8,,,
MachineMainDetail_CNC_Param9,,,
MachineMainDetail_Column_CreateTime,建立時間,Time,作成時間
MachineMainDetail_Column_ElectrodeName,電極名稱,Electrode name,電極名
MachineMainDetail_Column_WorksheetNumber,工單編號,Work order,作業指示番号
MachineMainDetail_Column_WorkStatus,工單狀態,Status,作業状態
MachineMainDetail_DateFilter_Custom,自訂,Custom,カスタム
MachineMainDetail_DateFilter_Last7Days,前7天,Last 7 days,過去7日間
MachineMainDetail_DateFilter_Today,今天,Today,本日
MachineMainDetail_EDM_Info1,機台型號：,Name:,機械型式：
MachineMainDetail_EDM_Info10,主軸轉速 : ,Spindle RPM: ,主軸回転数：
MachineMainDetail_EDM_Info11,油位狀態 : ,Oil level: ,油量状態：
MachineMainDetail_EDM_Info12,冷卻液量 : ,Coolant level: ,冷却液量：
MachineMainDetail_EDM_Info13,,,
MachineMainDetail_EDM_Info14,,,
MachineMainDetail_EDM_Info15,,,
MachineMainDetail_EDM_Info16,,,
MachineMainDetail_EDM_Info2,機台狀態：,Status:,機械状態：
MachineMainDetail_EDM_Info3,使用電極：,Electrode:,使用電極：
MachineMainDetail_EDM_Info4,加工程式：,Program:,加工プログラム：
MachineMainDetail_EDM_Info5,加工時間：,Cycle time:,加工時間：
MachineMainDetail_EDM_Info6,加工進度：,Progress:,加工進捗：
MachineMainDetail_EDM_Info7,目前工單：,Work order:,現在の作業指示：
MachineMainDetail_EDM_Info8,刀具號碼：,Tool No.:,工具番号：
MachineMainDetail_EDM_Info9,機台溫度 : ,Temperature: ,機械温度 :
MachineMainDetail_EDM_Param1,TON(us):,TON(us):,TON(us):
MachineMainDetail_EDM_Param10,JD(mm):,JD(mm):,JD(mm):
MachineMainDetail_EDM_Param11,OB:,OB:,OB:
MachineMainDetail_EDM_Param12,JT(s):,JT(s):,JT(s):
MachineMainDetail_EDM_Param13,,,
MachineMainDetail_EDM_Param14,,,
MachineMainDetail_EDM_Param15,,,
MachineMainDetail_EDM_Param16,,,
MachineMainDetail_EDM_Param2,TOFF(us):,TOFF(us):,TOFF(us):
MachineMainDetail_EDM_Param3,I(A):,I(A):,I(A):
MachineMainDetail_EDM_Param4,Pol:,Pol:,Pol:
MachineMainDetail_EDM_Param5,Hv:,Hv:,Hv:
MachineMainDetail_EDM_Param6,Gap(V):,Gap(V):,Gap(V):
MachineMainDetail_EDM_Param7,Speed:,Speed:,Speed:
MachineMainDetail_EDM_Param8,Pulse,Pulse,Pulse
MachineMainDetail_EDM_Param9,Servo(%):,Servo(%):,Servo(%):
MachineMainDetail_Label_A,A：,A:,A：
MachineMainDetail_Label_B,B：,B:,B：
MachineMainDetail_Label_C,C：,C:,C：
MachineMainDetail_Label_MachineInfoSuffix,機台資訊,Machine info,機械情報
MachineMainDetail_Label_Position,座標：,Coordinate:,座標：
MachineMainDetail_Label_X,X：,X:,X：
MachineMainDetail_Label_Y,Y：,Y:,Y：
MachineMainDetail_Label_Z,Z：,Z:,Z：
MachineMainDetail_Message_DateFormatError,日期格式錯誤,Invalid date format.,日付形式が正しくありません
MachineMainDetail_Message_DateRangeTooLong,選擇的日期範圍不能超過一個月,Selected date range cannot exceed one month.,選択した日付範囲は1か月を超えることはできません
MachineMainDetail_Section_MachineInfo,機台資訊區,Machine information,機械情報エリア
MachineMainDetail_Section_MachiningParams,加工參數,Machining parameters,加工パラメータ
MachineMainDetail_Section_WorkPosition,工作座標,Work position,作業座標
MachineMainDetail_Tab_Absolute,絕對,Absolute,絶対
MachineMainDetail_Tab_Machine,機械,Machine,機械
MachineMainDetail_Tab_WorkOrderInfo,工單資訊,Work order info,作業指示情報
MachineMainDetail_Tab_WorkOrderTimeline,工單Timeline,Work order timeline,作業指示タイムライン
MachineMainDetail_Toggle_Disabled,禁用,Disabled,無効
MachineMainDetail_Toggle_Enabled,啟用,Enabled,有効
MachineMainDetail_Toggle_Tooltip,禁用 / 啟用,Disable / Enable,無効 / 有効
MachineOverview_Tab_All,ALL,ALL,ALL
MachineOverview_Tab_EDM,EDM,EDM,EDM
MachineOverview_Tab_Station,工作站,Station,ステーション
MachineOverview_Title,設備總覽,Machine overview,設備概要
MachineOverviewControl_Title,機台總覽,Machine Overview,機械概要
MachineOverviewControl_Title,Working Zone Overview,Working Zone Overview,加工エリア概要
MachineOverviewControl_Tooltip_Toggle,展開/收合倉儲,Expand/collapse storage,倉庫を展開／折りたたむ
MachineOverviewControl_Tooltip_Toggle,展開/收合倉儲,Expand/collapse storage,倉庫を展開／折りたたむ
MachineStation_Button_ChuckClose,關爪,Close chuck,チャック閉
MachineStation_Button_ChuckOpen,開爪,Open chuck,チャック開
MachineStation_Button_LightOff,關燈,Light off,ライトOFF
MachineStation_Button_LightOn,開燈,Light on,ライトON
MachineStation_Button_OpenDoor,開門,Open door,ドア開
MachineStation_Button_Request,要求,Request,要求
MachineStation_Label_AirError,空壓異常,Air pressure error,空圧異常
MachineStation_Label_Alarm,異常,Alarm,アラーム
MachineStation_Label_AssemblyDoor,組裝站門,Assembly door,組立ステーションドア
MachineStation_Label_AssemblyLight,組裝站燈,Assembly light,組立ステーションライト
MachineStation_Label_Chuck,夾頭,Chuck,チャック
MachineStation_Label_DoorClosed,門關著,Door closed,ドア閉
MachineStation_Label_DoorOpen,門開著,Door open,ドア開
MachineStation_Label_IncomingNotification,入料通知,Incoming notification,入料通知
MachineStation_Label_IncomingPart,取得 (IncomingPart),Incoming part,取得（IncomingPart）
MachineStation_Label_MachineInfoSuffix, 機台資訊, Machine info, 機械情報
MachineStation_Label_RequestIncoming,要求入料中,Requesting incoming,入料要求中
MachineStation_Label_RequestOutcoming,要求出料中,Requesting outgoing,出料要求中
MachineStation_Label_RfidAtOrigin,RFID在原點上,RFID at origin,RFID原点位置
MachineStation_Label_WaitWorkpieceReturn,等待工件回來組裝站,Waiting for workpiece return,ワークの組立ステーション戻り待ち
MachineStation_Label_WorkpieceOnAssembly,工件在組裝站上,Workpiece on assembly station,ワークが組立ステーション上にあります
MachineStation_Message_ApiReturnFailed,API回傳失敗,API response failed.,API応答に失敗しました
MachineStation_Message_ApiSendFailed,API發送失敗,API request failed.,API送信に失敗しました
MachineStation_Section_Control,控制區,Control,制御エリア
MachineStation_Section_Info,資訊區,Info,情報エリア
MainWindow_Button_RobotPause,手臂暫停,Robot pause,ロボット一時停止
MainWindow_Button_RobotReset,手臂重置,Robot reset,ロボットリセット
MainWindow_Button_RobotStart,手臂啟動,Robot start,ロボット起動
MainWindow_Button_RobotStop,手臂停止,Robot stop,ロボット停止
MainWindow_Dispatch_Off,派工啟動,Start dispatch,ディスパッチ開始
MainWindow_Dispatch_On,派工中,Dispatching,ディスパッチ中
MainWindow_Message_Exception,例外狀況,Exception occurred.,例外が発生しました
MainWindow_Message_ExceptionWithDetails,例外狀況: {0},Exception: {0},例外が発生しました: {0}
MainWindow_Message_LoggedOut,您已成功登出！,You have been logged out successfully.,正常にログアウトしました
MainWindow_Message_LoginError,登入過程發生錯誤,An error occurred during login.,ログイン中にエラーが発生しました
MainWindow_Message_LoginWelcome,歡迎登入，{0}！,Welcome  {0}!,ようこそ、{0}さん
MainWindow_Message_NoWorkerData,目前無員工資料,No worker data available.,作業者データがありません
MainWindow_Message_ReturnFailed,回傳失敗,Request failed.,応答に失敗しました
MainWindow_Message_RobotNotConnectedAction,機器人未連線，無法執行,Robot is not connected; cannot perform this action.,ロボットが未接続のため実行できません
MainWindow_Message_RobotNotConnectedStart,機器人未連線，無法啟動,Robot is not connected; cannot start.,ロボットが未接続のため起動できません
MainWindow_Message_ServerDisconnected,伺服器斷線，請確認,Server disconnected. Please check.,サーバーが切断されました。確認してください
MainWindow_Message_ServiceProviderNotReady,ServiceProvider 尚未初始化，無法切換頁面。,Service provider is not initialized; unable to switch pages.,ServiceProviderが初期化されていないため、ページを切り替えできません
MainWindow_Message_WaitForRobotScan,請等待手臂掃描完成後再開啟,Please wait for the robot scan to finish before opening.,ロボットのスキャン完了後に開いてください
MainWindow_Section_ControlUnit,控制單元,Control unit,制御ユニット
MainWindow_Section_RobotPosition,機械臂目前位置,Robot current position,ロボット現在位置
MainWindow_Section_StorageControl,料倉控制,Storage control,ストレージ制御
MainWindow_Logo,AccuteX,AccuteX,AccuteX
MainWindow_Subtitle, 彈性製造系統,Flexible Manufacturing System, フレキシブル製造システム
MainWindow_Summary_Alarm,系統有警報,System has alarms,システムに警報があります
MainWindow_Summary_Fallback,提示訊息,Message,メッセージ
MainWindow_Summary_Normal,系統正常運作,System operating normally,システムは正常に稼働中です
MainWindow_Title,FMS 前台,FMS Frontend,FMSフロントエンド
MainWindow_Tooltip_LastCheck_Format,Last check: {0:HH:mm:ss},Last check: {0:HH:mm:ss},最終確認: {0:HH:mm:ss}
MainWindow_Tooltip_LoggedIn_Format,登入中：{0},Logged in: {0},ログイン中: {0}
MainWindow_Tooltip_Login,點擊登入,Click to log in,クリックしてログイン
MainWindow_Tooltip_Logout,登出系統,Log out,ログアウト
MainWindow_Tooltip_NotLoggedIn,尚未登入,Not logged in,未ログイン
MainWindow_Tooltip_ServerAlive,後台連線正常,Backend connected,バックエンド接続正常
MainWindow_Tooltip_ServerDown,未啟動 / 連線中斷,Not started / disconnected,未起動 / 接続切断
MaterialPair_Message_ApiNoData,API 無資料,No data from API.,APIデータなし
MaterialPair_Message_ElectrodeUploadFailed,電極上傳失敗,Electrode upload failed.,電極アップロード失敗
MaterialPair_Message_NoAvailableWorkOrders,目前沒有可選擇的工單,No work orders available.,選択可能な作業指示がありません
MaterialPair_Message_NoElectrodeForWorkOrder,此工單沒有可配對的電極,No electrodes available for this work order.,この作業指示に対応する電極がありません
MaterialPair_Message_NoTagSerial,無標籤序號,No tag serial.,タグシリアルなし
MaterialPair_Message_PairError,配對處理發生錯誤: {0},Pairing error: {0},ペアリング処理エラー: {0}
MaterialPair_Message_PairSuccess,{0} OK!,{0} OK!,{0} OK!
MaterialPair_Message_ResetOk,OK,OK,OK
MaterialPair_Message_RfidWriteLogFailed,RFIDWriteLog上傳失敗: ,RFIDWriteLog upload failed: ,RFIDWriteLogアップロード失敗:
MaterialPair_Message_SelectElectrode,請選擇電極,Please select an electrode.,電極を選択してください
MaterialPair_Message_SelectElectrodeFailed,選擇電極失敗,Failed to select electrode.,電極の選択に失敗しました
MaterialPair_Message_SelectPairElectrode,請選擇要配對的電極,Please select an electrode to pair.,ペアリングする電極を選択してください
MaterialPair_Message_SelectPairWorkOrder,請選擇要配對的工單,Please select a work order to pair.,ペアリングする作業指示を選択してください
MaterialPair_Message_SelectPairWorkpiece,請先選擇要配對的工件。,Please select a workpiece to pair.,ペアリングするワークを選択してください
MaterialPair_Message_SelectWorkOrder,請選擇工單,Please select a work order.,作業指示を選択してください
MaterialPair_Message_SelectWorkOrderFailed,選擇工單失敗,Failed to select work order.,作業指示の選択に失敗しました
MaterialPair_Message_SelectWorkpiece,請選擇工件,Please select a workpiece.,ワークを選択してください
MaterialPair_Message_SelectWorkpieceFailed,工件選擇失敗,Failed to select workpiece.,ワークの選択に失敗しました
MaterialPair_Message_WorkpieceNotFound,找不到工件,Workpiece not found.,ワークが見つかりません
MaterialPair_Message_WorkpieceUploadFailed,工件上傳失敗,Workpiece upload failed.,ワークアップロード失敗
MaterialPair_SelectedWorkOrder_Format,{0}（{1}),{0} ({1}),{0}（{1})
MaterialPair_Title_Electrode,電極配對,Electrode pairing,電極ペアリング
MaterialPair_Title_Workpiece,工件配對,Workpiece pairing,ワークペアリング
MaterialPairWindow_Button_Pair,PAIR,PAIR,PAIR
MaterialPairWindow_Button_Reconnect,重新連線,Reconnect,再接続
MaterialPairWindow_Label_EdmProgram,EDM加工程式：,EDM program:,EDM加工プログラム：
MaterialPairWindow_Label_Lifetime,使用壽命次數：,Lifetime count:,使用寿命回数：
MaterialPairWindow_Label_PartName,零件名稱：,Part name:,部品名：
MaterialPairWindow_Label_RfidConnected,RFID Connected,RFID Connected,RFID接続済み
MaterialPairWindow_Label_RfidTag,RFID Tag,RFID Tag,RFIDタグ
MaterialPairWindow_Label_SelectElectrode,選擇電極,Select electrode,電極選択
MaterialPairWindow_Label_SelectWorkOrder,選擇工單,Select work order,作業指示選択
MaterialPairWindow_Label_SelectWorkpiece,選擇工件,Select workpiece,ワーク選択
MaterialPairWindow_Label_Status,狀態：,Status:,状態：
MaterialPairWindow_Label_TagSerial,標籤序號：,Tag serial:,タグシリアル：
MaterialPairWindow_Label_TargetEdm,目標EDM：,Target EDM:,対象EDM：
MaterialPairWindow_Section_Electrode,電極配對,Electrode pairing,電極ペアリング
MaterialPairWindow_Section_Workpiece,工件配對,Workpiece pairing,ワークペアリング
MaterialPairWindow_Title,物料燒錄,Material Pairing,材料書き込み
MaterialTimelineView_Title,工作列表,Work list,作業リスト
MaterialTypeSelectWindow_Button_Electrode,電極,Electrode,電極
MaterialTypeSelectWindow_Button_Probe,探針,Probe,プローブ
MaterialTypeSelectWindow_Button_Workpiece,工件,Workpiece,ワーク
MaterialTypeSelectWindow_Header_Title,物料選擇,Material selection,材料選択
MaterialTypeSelectWindow_Title,物料燒錄,Material Pairing,材料書き込み
OperationHistory_Button_Clear,刪除,Delete,削除
OperationHistory_Button_Export,匯出,Export,エクスポート
OperationHistory_Column_Message,訊息,Message,メッセージ
OperationHistory_Column_Time,時間,Time,時間
OperationHistory_Column_User,使用者,User,ユーザー
OperationHistory_Confirm_Clear,確定要刪除?,Are you sure you want to delete?,削除してもよろしいですか？
OperationHistory_DateFilter_Custom,自訂,Custom,カスタム
OperationHistory_DateFilter_Last7Days,前7天,Last 7 days,過去7日間
OperationHistory_DateFilter_Today,今天,Today,本日
OperationHistory_Dialog_ExportTitle,匯出操作紀錄,Export operation history,操作履歴をエクスポート
OperationHistory_Message_DateRangeTooLong,選擇的日期範圍不能超過一個月,Selected date range cannot exceed one month.,選択した日付範囲は1か月を超えることはできません
OperationHistory_Message_ExportFailed,匯出失敗：{0},Export failed: {0},エクスポート失敗：{0}
OperationHistory_Message_ExportSuccess,匯出完成。,Export completed.,エクスポートが完了しました
OperationHistory_Message_LoadFailed,讀取操作紀錄失敗：{0},Failed to load operation history: {0},操作履歴の読み込みに失敗しました：{0}
OperationHistory_Message_NoExportData,目前沒有可匯出的資料。,There is no data to export.,エクスポートするデータがありません
OperationHistory_Title,操作紀錄,Operation history,操作履歴
PageMenuBar_Label_FactoryOverview,整場總覽,Factory overview,工場全体概要
PageMenuBar_Label_Inventory,倉儲庫存,Storage,在庫管理
PageMenuBar_Label_MachineOverview,設備總覽,Machine overview,設備概要
PageMenuBar_Label_OperationHistory,操作紀錄,Operation history,操作履歴
PageMenuBar_Label_ProductionLines,產線總覽,Production lines,生産ライン概要
PageMenuBar_Label_RfidBind,RFID燒錄,RFID burn,RFID書き込み
PageMenuBar_Label_Settings,系統設定,Settings,システム設定
PageMenuBar_Label_WorkOrder,工單管理,Work orders,作業指示管理
PageMenuBar_Tooltip_Collapse,收合功能表,Collapse menu,メニューを折りたたむ
Period_Daily_Format,每日 {0} 進行潤滑,Daily lubrication at {0},毎日 {0} に潤滑を実行
Period_Day_Fri,五,Fri,金
Period_Day_Last,last,last,最終
Period_Day_Mon,一,Mon,月
Period_Day_Sat,六,Sat,土
Period_Day_Sun,日,Sun,日
Period_Day_Thu,四,Thu,木
Period_Day_Tue,二,Tue,火
Period_Day_Wed,三,Wed,水
Period_Monthly_Format,每月 {0} 日 {1} 進行潤滑,Monthly on day {0} at {1},毎月 {0} 日 {1} に潤滑を実行
Period_None,不設定,None,未設定
Period_Weekly_Format,每週 {0} {1} 進行潤滑,Weekly on {0} at {1},毎週 {0} {1} に潤滑を実行
PeriodWindow_Button_Cancel,取消,Cancel,キャンセル
PeriodWindow_Button_Confirm,確認,Confirm,確認
PeriodWindow_Label_TriggerTime,觸發時間,Trigger time,トリガー時間
PeriodWindow_Mode_Daily,每日,Daily,毎日
PeriodWindow_Mode_Monthly,每月,Monthly,毎月
PeriodWindow_Mode_None,不設定,None,未設定
PeriodWindow_Mode_Weekly,每週,Weekly,毎週
PeriodWindow_Title,週期設定,Period Settings,周期設定
PeriodWindow_Tooltip_ToggleSign,右鍵切換正/負,Right-click to toggle +/-,右クリックで＋／－を切替
ProbePairViewModel_Message_Error,發生錯誤,An error occurred.,エラーが発生しました
ProbePairViewModel_Message_ProbeUploadFailed,Probe上傳失敗,Probe upload failed.,プローブアップロード失敗
ProbePairViewModel_Message_ProbeUploadSuccess,Probe上傳成功!,Probe upload succeeded!,プローブアップロード成功！
ProbePairViewModel_Message_RfidWriteLogFailed,RFIDWriteLog上傳失敗: ,RFIDWriteLog upload failed: ,RFIDWriteLogアップロード失敗:
ProbePairWindow_Button_Pair,PAIR,PAIR,PAIR
ProbePairWindow_Button_Reconnect,重新連線,Reconnect,再接続
ProbePairWindow_Label_RfidConnected,RFID Connected,RFID Connected,RFID接続済み
ProbePairWindow_Label_RfidTag,RFID Tag,RFID Tag,RFIDタグ
ProbePairWindow_Label_TagSerial,標籤序號：,Tag serial:,タグシリアル：
ProbePairWindow_Section_Title,探針配對,Probe pairing,プローブペアリング
ProbePairWindow_Title,物料燒錄,Material Pairing,材料書き込み
ProductionLines_Label_Electrode,電極：{0},Electrode: {0},電極：{0}
ProductionLines_Label_None,—,—,—
ProductionLines_Label_Workpiece,工件：{0},Workpiece: {0},ワーク：{0}
ProductionLines_Message_NoMaterial,無物料,No material.,材料なし
ProductionLines_Title,產線總覽,Production lines,生産ライン概要
ProductionLines_Tooltip_RobotInfo,查看機器人資訊,View robot info,ロボット情報を表示
ReviseProcessWindow_Button_Cancel,取消,Cancel,キャンセル
ReviseProcessWindow_ForceComplete_Description,請卸下目前電極並保持該電極不要進倉，流程將直接結束完成。,Remove the current electrode and keep it out of storage; the process will finish immediately.,現在の電極を取り外し、倉庫に戻さないでください。プロセスは直ちに完了します。
ReviseProcessWindow_ForceComplete_Title,強制完成流程,Force complete process,プロセス強制完了
ReviseProcessWindow_SelectNext_Description,請卸下目前電極並保持該電極不要進倉，系統將安裝下一步所需的正確電極。,Remove the current electrode and keep it out of storage; the system will install the correct next electrode.,現在の電極を取り外し、倉庫に戻さないでください。システムは次工程に必要な正しい電極を装着します。
ReviseProcessWindow_SelectNext_Title,選擇下一支電極,Select next electrode,次の電極を選択
ReviseProcessWindow_Title,流程修正,Revise process,プロセス修正
ReviseProcessWindow_Undo_Description,請將目前在 EDM 機台上的電極卸下，並把與本支同名的電極放回倉。,Remove the current electrode from the EDM machine and return the matching electrode to storage.,現在EDM機に装着されている電極を取り外し、同名の電極を倉庫に戻してください。
ReviseProcessWindow_Undo_Title,撤回本支電極,Undo current electrode,現在の電極を撤回
RFIDBind_Button_Burn,物料燒錄,Burn Material,材料書き込み
RFIDBind_Button_Clear,刪除,Delete,削除
RFIDBind_Button_Read,物料讀取,Read Material,材料読み取り
RFIDBind_Button_Reconnect,Tag重新連線,Reconnect Tag,タグ再接続
RFIDBind_Column_MaterialType,物料種類,Material Type,材料種類
RFIDBind_Column_SerialNo,工單編號,Work order,作業指示番号
RFIDBind_Column_TagSerial,標籤序號,Tag serial,タグシリアル
RFIDBind_Column_Time,時間,Time,時間
